ANO_ADESAO;COD_ESC;CODSIT;DEPADM;NOMEDEP;CODREG;CHAVE;CDREDE;COD_DIR;DE;DRE;CODDIST;DISTR;CODMUN;MUN;TIPOESC;DESCRICAO_TIPO_ESCOLA;COD_UNID_ADM;CODESCMEC;CODESC;NOMESC;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ZONA;DESCRICAO_ZONA;DS_LONGITUDE;DS_LATITUDE;CARGA_HORARIA
2022;31069;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;349;PACAEMBU;497;PACAEMBU;8;EE;44552;35031069;31069;JOEL AGUIAR PROF;RUA CORYPHEU DE AZEVEDO MARQUES;1154;AVENIDA;VILA PERES;17862;012;18;38621243;38621299;E031069A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,266731262207;-21,5650730133057;7 HORAS
2022;31458;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;354;PANORAMA;502;PANORAMA;8;EE;44589;35031458;31458;JOAO BRASIO;PAULO DE ARRUDA MENDES;2597;RUA;MARRECAS;17980;000;18;38711317;;E031458A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,8508987426758;-21,3554000854492;7 HORAS
2022;31159;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;354;PANORAMA;502;PANORAMA;8;EE;44591;35031159;31159;LUCIO ANTUNES DOM;PEGE RAPOSO LOPES;612;RUA;CENTRO;17980;000;18;38711328;38711343;E031159A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,8610000610352;-21,3689002990723;7 HORAS
2020;31550;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;447;SAGRES;595;SAGRES;8;EE;44627;35031550;31550;WALDOMIRO SAMPAIO DE SOUZA PREFEITO;VEREADOR GERALDO TEODORO DE CARVALHO;156;RUA;CENTRO;17710;000;18;35581103;35581163;E031550A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,9598617553711;-21,8831748962402;9 HORAS
2022;31549;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;451;SALMOURAO;599;SALMOURAO;8;EE;44629;35031549;31549;HANS WIRTH;BARTOLOMEU BUENO;420;;CENTRO;17720;000;18;35571147;;E031549A@EDUCACAO.SP.GOV.BR;1;URBANA;-50,8578681945801;-21,6241893768311;7 HORAS
2022;31297;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;471;SANTA MERCEDES;619;SANTA MERCEDES;8;EE;44593;35031297;31297;OSCAR PEDROSO HORTA MINISTRO;ALIPIO BEDAQUE;1392;;CENTRO;17940;000;18;38751280;;E031297A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,7519874572754;-21,3528652191162;9 HORAS
2020;31461;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;493;SAO JOAO DO PAU D'ALHO;641;SAO JOAO DO PAU D'ALHO;8;EE;44596;35031461;31461;SALVADOR RAMOS DE MOURA PROF;JOSE ANTONIO SANCHES;468;;CENTRO;17970;000;18;38571177;38571269;E031461A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,6664009094238;-21,2668590545654;9 HORAS
2022;31513;1;1;ESTADUAL - SE;2;20901;20901;14;ADAMANTINA;ADAMANTINA;550;TUPI PAULISTA;698;TUPI PAULISTA;8;EE;44598;35031513;31513;LEA APARECIDA VIEIRA GUEDES;TIRADENTES;852;RUA;CENTRO;17930;000;18;38511221;38511969;E031513A@EDUCACAO.SP.GOV.BR;1;URBANA;-51,575553894043;-21,3857898712158;9 HORAS
2015;16998;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42840;35016998;16998;ALCINDO SOARES DO NASCIMENTO PROF;DINAMARCA;531;RUA;JARDIM PAULISTANO;13471;600;19;34063468;34610732;E016998A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3376998901367;-22,7252998352051;9 HORAS
2022;907285;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;73374;35907285;907285;ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA;JANUARIO FERRARO;270;RUA;JARDIM BRASIL;13474;180;19;34651575;34651659;E907285A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2937507629395;-22,7137107849121;7 HORAS
2022;903760;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;69030;35903760;903760;ANTONIETA GHIZINI LENHARE PROFA;ANGELA CAROLINA CAMPARI PACE;199;RUA;JARDIM BRASILIA;13468;810;19;34063458;34063978;E903760A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3606986999512;-22,7640991210938;7 HORAS
2014;45500;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;59309;35045500;45500;CLARICE COSTA CONTI PROFA;MARIA CAVALCANTE PROENCA;99;RUA;ANTONIO ZANAGA;13474;530;19;34691197;34691204;E045500A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2996101379395;-22,7023792266846;9 HORAS
2019;42473;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;57329;35042473;42473;CONSTANTINO AUGUSTO PINKE PROF;HUMBERTO CASAGRANDE;565;RUA;SAO LUIZ;13477;530;19;34682570;34683683;E042473A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2998008728027;-22,7415008544922;9 HORAS
2022;17197;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42832;35017197;17197;DELMIRA DE OLIVEIRA LOPES PROFA;NARCISOS;130;RUA;VILA MATHIESEN;13467;340;19;34061829;34063455;E017197A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3309593200684;-22,7677402496338;9 HORAS
2019;17218;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42836;35017218;17218;DILECTA CENEVIVA MARTINELLI PROFA;ORQUIDEAS;214;RUA;CIDADE JARDIM II;13467;080;19;34061800;34063452;E017218A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3375015258789;-22,7616996765137;9 HORAS
2022;17346;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;44286;35017346;17346;GERMANO BENENCASE MAESTRO;ASTEROIDES;224;RUA;JARDIM ALVORADA;13479;140;19;34062842;34618017;E017346A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3070983886719;-22,75830078125;9 HORAS
2022;17164;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42831;35017164;17164;JOAO DE CASTRO GONCALVES DR;TIBIRICA;449;RUA;CONSERVA;13466;044;19;34063585;34611131;E017164A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3237190246582;-22,7481708526611;9 HORAS
2022;17322;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42828;35017322;17322;JOAO SOLIDARIO PEDROSO PROF;SANTO ONOFRE;275;RUA;SAO MANOEL;13472;250;19;34684965;34686163;E017322A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3157005310059;-22,728099822998;9 HORAS
2013;17224;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42839;35017224;17224;JOAO XXIII;CAXIAS DUQUE;550;RUA;VILA SANTA CATARINA;13466;320;19;34062162;34618068;E017224A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3284530639648;-22,7504825592041;9 HORAS
2022;17176;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42824;35017176;17176;MAGI MONSENHOR;SALGUEIROS;495;RUA;JARDIM SAO PAULO;13468;080;19;34062238;34618022;E017176A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3382110595703;-22,7567195892334;9 HORAS
2022;42481;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;57327;35042481;42481;MARCELINO TOMBI PROF;SOLIMOES;780;RUA;JARDIM SAO ROQUE;13469;410;19;34617569;34626034;E042481A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3540000915527;-22,7299003601074;9 HORAS
2023;435442;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;93908;35435442;435442;MARIA FRIZZARIN PROFA;UDINE;120;RUA;JARDIM MIRANDOLA;13478;866;19;34782458;34783291;E435442A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2830009460449;-22,7483406066895;9 HORAS
2021;17139;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42825;35017139;17139;MARIA JOSE DE MATTOS GOBBO PROFA;COELHO NETO;650;RUA;VILA AMORIM;13469;140;19;34618544;;E017139A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3535995483398;-22,7383995056152;9 HORAS
2023;17140;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42834;35017140;17140;MARIO PATARRA FRATTINI PROF;PERNAMBUCO;353;RUA;VILA NOSSA SENHORA DE FATIMA;13478;570;19;34061844;34624605;E017140A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3222007751465;-22,7392997741699;9 HORAS
2023;925883;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;27028;35925883;925883;MARTINHO RUBENS BELLUCO PROFESSOR;ARISTODEMO ARDITO;550;RUA;SAO BENEDITO;13476;681;19;34672255;34673700;E925883A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2398986816406;-22,7436504364014;9 HORAS
2022;17152;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42833;35017152;17152;MAURA ARRUDA GUIDOLIN PROFA;DIONISIO RODRIGUES DA SILVA;650;RUA;CAMPO LIMPO;13477;120;19;34681822;34682345;E017152A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3050384521484;-22,733039855957;9 HORAS
2022;17334;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42837;35017334;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;ITAPEMIRIM;149;RUA;JARDIM IPIRANGA;13468;480;19;34062288;34616674;E017334A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,355339050293;-22,7475490570068;7 HORAS
2022;578575;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;98560;35578575;578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;GLORIA;171;RUA;JARDIM BOER I;13477;722;19;34682750;34683205;E578575A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2876510620117;-22,7425708770752;7 HORAS
2025;578563;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;98561;35578563;578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;COMENDADOR THOMAZ FORTUNATO;2550;AVENIDA;CHACARA LETONIA;13475;010;19;34652364;34652395;E578563A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,282470703125;-22,7233600616455;9 HORAS
2016;578587;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;98562;35578587;578587;PROFESSORA ORNELLA RITA FERRARI SACILOTTO;GUARUJA;1609;RUA;PARQUE UNIVERSITARIO;13467;708;19;34086358;34086447;E578587A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3495597839355;-22,7812690734863;9 HORAS
2021;16950;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42827;35016950;16950;RISOLETA LOPES ARANHA PROFESSORA;TREZE DE MAIO;471;RUA;JARDIM SAO DOMINGOS;13471;030;19;34618047;;E016950A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,340950012207;-22,7328300476074;7 HORAS
2022;16974;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42826;35016974;16974;SAO VICENTE DE PAULO;DOM BARRETO;1001;RUA;PARAISO;13465;720;19;34062341;34612026;E016974A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3424682617188;-22,7404499053955;9 HORAS
2022;922183;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;20617;35922183;922183;SEBASTIANA PAIE RODELLA PROFA;SERRA DA CANASTRA;SN;RUA;PARQUE LIBERDADE;13470;434;19;34611138;34623852;E922183A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3540802001953;-22,7112998962402;9 HORAS
2014;16962;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;42841;35016962;16962;SILVINO JOSE DE OLIVEIRA PROF;MIGUEL COUTO PROFESSOR;716;RUA;VILA CORDENONSI;13472;450;19;34685170;34784671;E016962A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3219985961914;-22,7262001037598;9 HORAS
2015;37928;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;51050;35037928;37928;SINESIA MARTINI PROFA;GERONIMO SANTON;33;RUA;SAO BENEDITO;13476;680;19;34671344;34671543;E037928A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2413215637207;-22,7409801483154;9 HORAS
2022;921567;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;17;AMERICANA;165;AMERICANA;8;EE;20057;35921567;921567;WILSON CAMARGO PROF;FLORINDO CIBIN;3424;RUA;PARQUE DAS NACOES;13470;070;19;34623598;34623867;E921567A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,349;-22,7248;7 HORAS
2025;39810;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;334;NOVA ODESSA;482;NOVA ODESSA;8;EE;56533;35039810;39810;DORTI ZAMBELLO CALIL PROFA;DOUTOR ERNESTO SPROGIS;1261;;JARDIM SANTA ROSA;13385;086;19;34662324;34662981;E039810A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2991104125977;-22,791109085083;9 HORAS
2022;17309;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;334;NOVA ODESSA;482;NOVA ODESSA;8;EE;42905;35017309;17309;JOAO THIENNE DR;INDEPENDENCIA;500;;CENTRO;13380;025;19;34661245;34662983;E017309A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,296028137207;-22,7819404602051;7 HORAS
2020;49906;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;334;NOVA ODESSA;482;NOVA ODESSA;8;EE;62669;35049906;49906;SILVANIA APARECIDA SANTOS PROFA;IRINEU JOSE BORDON;S/N;;RESIDENCIAL SANTA LUIZA II;13387;692;19;34662145;34662982;E049906A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,2828598022461;-22,7758598327637;9 HORAS
2022;47016;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;60872;35047016;47016;ALCHESTE DE GODOY ANDIA PROFA;COMERCIO;597;AVENIDA;JARDIM ESMERALDA;13454;038;19;34585015;;E047016A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3726005554199;-22,7441902160645;9 HORAS
2022;17085;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;45035;35017085;17085;ANTONIO DE ARRUDA RIBEIRO PROF;AMADOR BUENO DE CAMPOS;52;RUA;JARDIM INDUSTRIAL;13453;010;19;34555077;34636215;E017085A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,4094009399414;-22,7462997436523;9 HORAS
2014;17292;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;43157;35017292;17292;ANTONIO MATARAZZO PROF;NORUEGA;2165;RUA;JARDIM CANDIDO BERTINI;13455;186;19;34583083;34584317;E017292A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,364128112793;-22,7268600463867;9 HORAS
2025;919159;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;10696;35919159;919159;ATTILIO DEXTRO PROF;ALEXANDRE FURLAN;135;RUA;JARDIM DOS CEDROS;13457;632;19;34584161;34587598;E919159A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3651390075684;-22,7639102935791;9 HORAS
2019;49402;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;62469;35049402;49402;BENEDICTA ARANHA DE OLIVEIRA LINO PROFA;GENERAL ORLANDO GEISEL;715;AVENIDA;CONJUNTO HABITACIONAL 31 MARCO COHAB;13453;166;19;34551848;34636425;E049402A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,4038009643555;-22,7353992462158;9 HORAS
2023;903796;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;69062;35903796;903796;DIRCEU DIAS CARNEIRO;GUAIANAZES;1504;RUA;JARDIM SANTA RITA DE CASSIA;13457;093;19;34555091;34637289;E903796A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3835983276367;-22,7728004455566;7 HORAS
2022;921178;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;18377;35921178;921178;EDUARDO SILVA PROF;BELO HORIZONTE;1200;RUA;LOTEAMENTO PLANALTO DO SOL;13454;330;19;34583743;34588542;E921178A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3830986022949;-22,7404003143311;7 HORAS
2014;17115;1;1;ESTADUAL - SE;2;20401;20401;15;AMERICANA;AMERICANA;458;SANTA BARBARA D'OESTE;606;SANTA BARBARA D'OESTE;8;EE;43156;35017115;17115;ELISABETH STEAGALL PIRTOUSCHEG PROFA;IRIDIO;275;RUA;VILA MOLLON IV;13456;500;19;34582778;34587614;E017115A@EDUCACAO.SP.GOV.BR;1;URBANA;-47,3632011413574;-22,7534008026123;9 HORAS
